country,st04q01,st62q13,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Female,Never heard of it,219,1776.1585,15.056097990582762,1.0952439699034784,402.0839578122529,9.195219983550924
Albania,Female,Heard of it,1163,10020.779199999999,84.94390200941724,1.0952439699034788,391.33139382179803,3.9424094245238788
Albania,Male,Never heard of it,237,2302.6005999999998,17.662549026869435,1.2592638185573317,392.9925450838759,7.036735974697093
Albania,Male,Heard of it,1145,10734.0262,82.33745097313057,1.2592638185573317,391.3760458051229,3.533170689837776
Argentina,Female,Never heard of it,1355,120543.99309999998,69.53276323493789,1.1593223584451389,393.0419893494754,3.832782765856905
Argentina,Female,Heard of it,578,52818.87569999999,30.46723676506212,1.1593223584451384,381.90234502085315,4.918090127904822
Argentina,Male,Never heard of it,1001,90636.99769999999,56.92661328672338,1.585494893698003,404.6798710353716,4.444483557698838
Argentina,Male,Heard of it,681,68580.26899999999,43.07338671327662,1.5854948936980024,400.5003288010684,4.663647486159772
Australia,Female,Never heard of it,2889,50783.51789999999,63.87440114287561,0.7260203932845991,500.9997134288218,2.828337641207827
Australia,Female,Heard of it,1662,28721.756499999996,36.12559885712437,0.7260203932846002,501.47565881412737,2.979852391109453
Australia,Male,Never heard of it,2442,43214.68839999999,52.20484188244994,0.8726464936822064,516.2212438523958,3.521658073297679
Australia,Male,Heard of it,2253,39564.3927,47.795158117550066,0.8726464936822054,514.4646701944093,3.1034921112261684
Austria,Female,Never heard of it,670,11535.724999999999,44.271802897480505,1.4167702663553772,513.2062843865725,4.201873768751273
Austria,Female,Heard of it,851,14520.871399999998,55.7281971025195,1.416770266355376,488.2025313372986,4.120875380765368
Austria,Male,Never heard of it,600,10462.748,40.108263101132664,1.5826426752080438,525.4497520805575,5.287769761108686
Austria,Male,Heard of it,932,15623.517499999998,59.89173689886733,1.582642675208042,514.748630441699,5.287276506462343
Belgium,Female,Never heard of it,1537,21617.288699999997,58.22342180866138,1.2042937819958177,516.6257414067449,3.1332828932972836
Belgium,Female,Heard of it,1176,15510.877299999998,41.776578191338615,1.2042937819958157,508.18490773646874,4.1635695080506805
Belgium,Male,Never heard of it,1428,19812.7957,53.54875441253395,1.0095540133455656,541.9378182582275,3.230779879863511
Belgium,Male,Heard of it,1299,17186.749699999997,46.45124558746605,1.009554013345567,521.1665813804658,3.3450426412024967
Brazil,Female,Never heard of it,3262,393808.47849999997,53.68699253237088,0.965631930237729,387.1574207954636,2.64111977763054
Brazil,Female,Heard of it,2847,339718.3217999999,46.31300746762913,0.9656319302377286,383.80591020290694,2.685304255498478
Brazil,Male,Never heard of it,2617,339374.41569999995,48.80510166439652,1.0833748053966668,404.0500581442383,3.0168440247039876
Brazil,Male,Heard of it,2820,355992.2654999999,51.19489833560349,1.08337480539667,402.80432967457693,3.0509418393349983
Bulgaria,Female,Never heard of it,777,7829.7988000000005,47.03643783602556,1.5901014095555137,461.5393693432937,4.860405784060499
Bulgaria,Female,Heard of it,870,8816.4422,52.96356216397443,1.5901014095555153,432.64005182828805,4.560767809464928
Bulgaria,Male,Never heard of it,604,6253.5713,36.5989987854784,1.559339581800416,461.50605282987715,5.90011040522057
Bulgaria,Male,Heard of it,1046,10833.156500000001,63.4010012145216,1.5593395818004163,431.81688197912234,4.883504362229733
Canada,Female,Never heard of it,4041,65993.1047,58.104849331216165,0.7391210173691418,520.1479321131765,2.4169555670095426
Canada,Female,Heard of it,3059,47582.79379999999,41.895150668783835,0.7391210173691385,509.2050772510309,2.8200736252180034
Canada,Male,Never heard of it,3140,52001.2049,46.933732998986486,0.8733457310150057,528.6243079658207,2.677334227954937
Canada,Male,Heard of it,3661,58795.8734,53.066267001013514,0.8733457310150048,523.0154310202299,3.1482318610828384
Chile,Female,Never heard of it,1236,41510.47779999999,53.511534118564654,1.1197944186056226,414.5935675298147,3.81190852450221
Chile,Female,Heard of it,1055,36062.476299999995,46.488465881435346,1.119794418605626,406.8758534177756,3.5529187771070747
Chile,Male,Never heard of it,1036,33894.4154,48.557756882958344,1.235710765078177,443.389285530157,4.702663478042432
Chile,Male,Heard of it,1088,35907.852199999994,51.442243117041656,1.235710765078177,431.346613304141,4.36512981491479
Shanghai-China,Female,Never heard of it,1124,18557.1439,63.95416833835542,1.194068770342811,618.5207983112111,3.385177702618171
Shanghai-China,Female,Heard of it,635,10459.172599999998,36.04583166164457,1.1940687703428097,594.4084948555984,4.805608215102081
Shanghai-China,Male,Never heard of it,922,15266.453599999999,56.35460815558218,1.3016202126155425,632.8924689740644,4.5539115480204755
Shanghai-China,Male,Heard of it,738,11823.529099999998,43.64539184441782,1.3016202126155414,598.6157949637817,5.374030186126371
Chinese Taipei,Female,Never heard of it,1380,66429.1265,65.91601089354049,1.0235386751748003,567.0410521556792,6.141032381546889
Chinese Taipei,Female,Heard of it,718,34349.312,34.08398910645952,1.0235386751747992,542.6692314832967,5.788847636065328
Chinese Taipei,Male,Never heard of it,1118,54349.064699999995,58.675562452460916,1.3429302897117963,575.774372462273,6.077326425464301
Chinese Taipei,Male,Heard of it,781,38277.34129999999,41.32443754753909,1.3429302897117972,543.051299639529,6.825958227914245
Colombia,Female,Never heard of it,1326,76562.3458,44.036496903256136,1.6472544104039792,374.05926556138326,3.8145735444542335
Colombia,Female,Heard of it,1549,97298.77209999999,55.963503096743864,1.6472544104039806,367.3420521161226,3.8312225978152723
Colombia,Male,Never heard of it,1195,72976.80189999999,47.39948708246871,1.4668336439992493,399.80812387160125,4.573983916705711
Colombia,Male,Heard of it,1363,80984.36179999998,52.6005129175313,1.4668336439992509,400.752813885625,3.8664162817550802
Costa Rica,Female,Never heard of it,954,8159.4699,60.48424788900153,1.6492328275589594,397.17149518962685,3.825919615122985
Costa Rica,Female,Heard of it,589,5330.7696,39.51575211099847,1.6492328275589587,401.97419310941166,3.376785264212498
Costa Rica,Male,Never heard of it,721,6266.1633,55.33772299170012,1.5163912405444155,423.142316249002,5.26716800994497
Costa Rica,Male,Heard of it,564,5057.3299,44.662277008299874,1.5163912405444175,421.91102566544606,4.47722046619782
Croatia,Female,Never heard of it,890,8023.9136,55.59512516683653,1.4328048198027277,471.2727354204649,4.573814238818488
Croatia,Female,Heard of it,709,6408.8511,44.40487483316346,1.4328048198027272,458.2041147034754,4.931420339126279
Croatia,Male,Never heard of it,791,7186.7723,46.896656540269944,1.3373111651525793,486.11442867778857,4.899374040913662
Croatia,Male,Heard of it,879,8137.9285,53.10334345973007,1.337311165152579,470.71558335170823,5.013555748060031
Czech Republic,Female,Never heard of it,1264,18422.420499999997,71.2613312775013,1.4191056900520846,503.1399892589225,4.444073107994957
Czech Republic,Female,Heard of it,491,7429.496899999999,28.738668722498705,1.4191056900520842,488.5095619701973,5.463897320297115
Czech Republic,Male,Never heard of it,1101,16740.175499999998,63.54343542478791,1.448837914626942,515.5079465641786,3.8760566257654814
Czech Republic,Male,Heard of it,600,9604.285399999999,36.456564575212084,1.4488379146269441,510.3044213990075,5.14263921183144
Denmark,Female,Never heard of it,1331,11470.4751,55.55662940140124,1.407242803416456,500.9060910621897,3.3388361721083992
Denmark,Female,Heard of it,1067,9175.981,44.44337059859876,1.4072428034164548,488.91440807723166,3.751656079111805
Denmark,Male,Never heard of it,1109,10175.033,49.054441464638515,1.3291313720486557,513.0396597274704,3.600263887840962
Denmark,Male,Heard of it,1225,10567.294699999999,50.94555853536149,1.3291313720486584,508.6638565073378,3.128022938094905
Estonia,Female,Never heard of it,1144,2772.7271,72.2559697500956,1.2027228376153527,527.5646251387864,3.1095325781633694
Estonia,Female,Heard of it,431,1064.6404,27.744030249904394,1.2027228376153531,501.22248434838536,4.9996592855480015
Estonia,Male,Never heard of it,982,2374.7184,63.02487099733995,1.213717159041116,533.0879503205982,3.6935062387723616
Estonia,Male,Heard of it,564,1393.1884,36.97512900266004,1.2137171590411173,508.56897821725363,4.2967564188309675
Finland,Female,Never heard of it,2206,14968.9435,78.31167070222578,0.9495797891485146,521.3856929756035,2.303042712158982
Finland,Female,Heard of it,646,4145.6321,21.688329297774207,0.9495797891485154,526.3373852867836,3.979385077687411
Finland,Male,Never heard of it,1866,12879.9856,65.26452501631564,0.9262133059710184,519.3215026018738,2.811939348327069
Finland,Male,Heard of it,983,6855.0628,34.735474983684355,0.9262133059710189,521.4891142989412,4.108416226568135
France,Female,Never heard of it,1060,159281.30899999998,70.46578637201316,1.1582565067680466,503.84753458411836,3.4011898115121504
France,Female,Heard of it,433,66759.32319999998,29.534213627986833,1.1582565067680457,473.8569150812344,5.742328185711539
France,Male,Never heard of it,881,132256.3435,62.500093154933346,1.2649734273250075,516.8642490937136,4.4431134517373625
France,Male,Heard of it,516,79353.4907,37.499906845066654,1.2649734273250102,486.4718389662653,4.6104034763542705
Germany,Female,Never heard of it,575,86365.80769999999,41.43280354541893,1.54365862280941,525.4617680677115,4.860802054759227
Germany,Female,Heard of it,801,122082.08939999998,58.56719645458107,1.5436586228094105,510.18515166029454,4.41080153811549
Germany,Male,Never heard of it,568,85884.38709999999,42.55475267655536,1.2352566628885515,541.7608407735062,4.400399592054225
Germany,Male,Heard of it,757,115936.51819999999,57.44524732344465,1.2352566628885489,526.1199170332178,4.543948650060006
Greece,Female,Never heard of it,1161,22161.8968,68.34842719966854,1.2387794117005624,452.39861568494763,3.427963880056376
Greece,Female,Heard of it,551,10262.985099999998,31.65157280033146,1.2387794117005624,441.64049309328345,4.464180875983646
Greece,Male,Never heard of it,880,16536.086199999998,54.21530237424017,1.566689251379766,464.0966089267242,4.402867398734215
