country,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Shanghai-China,Heard of it,443,7287.525499999999,25.737709846848855,1.0521755778965798,-0.040282468033902605,0.04283784307469299
Chinese Taipei,Never heard of it,1117,53911.854199999994,55.993789117881555,1.1992107229454758,0.2989160501736175,0.027153957696709363
Chinese Taipei,Heard of it,873,42369.99249999999,44.00621088211844,1.1992107229454765,0.29493014840632764,0.034588094633560294
Colombia,Never heard of it,1053,61321.88439999999,36.1221898327115,1.4557549069029354,0.3079151014152466,0.04310948134099915
Colombia,Heard of it,1710,108440.48239999998,63.87781016728851,1.4557549069029352,0.3133047987160184,0.02866913070308439
Costa Rica,Never heard of it,770,6774.0655,55.40333009397921,1.492446616613132,0.4372854549457785,0.037034409657039385
Costa Rica,Heard of it,617,5452.7546,44.59666990602078,1.4924466166131327,0.3492716472147862,0.047698412651217124
Croatia,Never heard of it,1007,9144.6447,61.45295757964995,1.2134897379780536,0.11529086373361229,0.04471220451367907
Croatia,Heard of it,622,5736.0788,38.54704242035006,1.2134897379780538,-0.03521182170649394,0.05272492524929049
Czech Republic,Never heard of it,1060,16262.795099999998,62.931347280689366,1.57811988155936,0.0016018014025152981,0.0435986574152756
Czech Republic,Heard of it,656,9579.3262,37.06865271931063,1.5781198815593596,-0.23130097073007092,0.048888111997506395
Denmark,Never heard of it,1457,13003.433599999998,62.14226486498497,1.3170799507037048,-0.47134102318944576,0.03462391919258377
Denmark,Heard of it,933,7921.831399999999,37.85773513501501,1.317079950703707,-0.5965272469696846,0.04994634062486098
Estonia,Never heard of it,1120,2753.2623,71.71477471698284,1.1723837897384568,-0.2548894426077751,0.033639835083070446
Estonia,Heard of it,452,1085.9219,28.285225283017162,1.172383789738455,-0.20874471175136974,0.05785466683577442
Finland,Never heard of it,2278,15938.622599999999,83.08177561306317,0.7872697123476168,-0.37556011082162116,0.025448154209900306
Finland,Heard of it,529,3245.6358999999998,16.91822438693682,0.7872697123476188,-0.5540088760418264,0.04640989155126773
France,Never heard of it,1023,154355.63659999997,70.23683150341299,1.1750982472800624,0.2889017220638388,0.030848337705823674
France,Heard of it,428,65408.88479999999,29.763168496587,1.1750982472800646,0.22701800700934757,0.04777596047067103
Germany,Never heard of it,1010,150940.69439999998,75.16406640728162,1.309486620500749,-0.3041475028155167,0.035345617837980556
Germany,Heard of it,324,49874.27159999999,24.835933592718384,1.3094866205007487,-0.6056467550696019,0.06286239696005433
Greece,Never heard of it,1037,19714.2116,62.24500424002836,1.5666260520109154,0.14159535484543515,0.03431361249636911
Greece,Heard of it,637,11957.746399999998,37.754995759971635,1.5666260520109128,0.05939231785347097,0.04271362349348304
Hong Kong-China,Never heard of it,604,9121.503599999998,40.410987130575435,1.6032249854243643,0.1503454303301486,0.04193477877031983
Hong Kong-China,Heard of it,890,13450.336999999998,59.58901286942457,1.6032249854243668,0.06671733295604423,0.03911700603729983
Hungary,Never heard of it,1028,19328.3016,66.16728558940875,1.2762553813053383,-0.11268863954399398,0.04999212406969766
Hungary,Heard of it,527,9882.9641,33.83271441059125,1.2762553813053377,-0.052447079515345114,0.0393332061838671
Iceland,Never heard of it,797,942.2128,70.65393823240976,1.4317772519023069,-0.4079769103115558,0.04162246804298411
Iceland,Heard of it,328,391.3474,29.34606176759025,1.431777251902307,-0.47890205224309607,0.0532316946454112
Indonesia,Never heard of it,113,52016.96689999999,6.12189322622871,0.6588744975691412,0.4249560547329795,0.07142608208545495
Indonesia,Heard of it,1701,797670.6211999998,93.8781067737713,0.6588744975691383,0.26608972217341076,0.02108219042009011
Ireland,Never heard of it,1240,13114.2683,74.85138089781955,1.2756743059829239,0.18849699155537322,0.02956310292291803
Ireland,Heard of it,400,4406.141,25.148619102180447,1.275674305982926,-0.0037442798584974997,0.04364911537407837
Israel,Never heard of it,746,15886.919099999997,47.733753187386746,1.6200882580984424,-0.020312561357475507,0.044944317704856455
Israel,Heard of it,805,17395.439899999998,52.26624681261325,1.6200882580984395,-0.15178726230430073,0.04225960333516057
Italy,Never heard of it,7088,116569.74789999999,69.13392621420623,0.7074752677134113,0.28416453130203345,0.01667762558837613
Italy,Heard of it,2998,52044.64199999999,30.86607378579377,0.7074752677134136,0.21510671509662815,0.02262844042032605
Japan,Never heard of it,1399,249371.3165,67.48849767850062,0.9993310074056145,0.4498380092523581,0.02829059424315316
