country,st25q01,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Hong Kong-China,Other language,Heard of it,104,1666.7361999999998,52.78337504523874,3.5308587337521824,521.1638916950757,11.9538227719029
Hungary,Language of the test,Never heard of it,1987,37160.622599999995,64.07859776705244,0.857118277892371,488.2483486753845,3.728895891377343
Hungary,Language of the test,Heard of it,1090,20831.630499999996,35.92140223294756,0.8571182778923719,464.13546384177107,3.9666349041938513
Hungary,Other language,Never heard of it,14,292.7801,55.06345516574701,13.589489754439132,475.04351230078817,33.14835553916058
Hungary,Other language,Heard of it,10,238.93389999999997,44.936544834253,13.589489754439136,526.1875089462565,34.41419009829447
Iceland,Language of the test,Never heard of it,1505,1780.6065,71.63455407190223,1.1889941272673377,504.0555704679099,2.4446051198644803
Iceland,Language of the test,Heard of it,590,705.0745000000001,28.365445928097778,1.188994127267336,490.5183656336828,3.515860369259185
Iceland,Other language,Never heard of it,40,48.021100000000004,51.43405837771142,5.43786299371687,443.3235070622705,12.695786468368643
Iceland,Other language,Heard of it,37,45.3433,48.56594162228858,5.43786299371687,462.07248707544437,12.826764364625483
Indonesia,Language of the test,Never heard of it,82,38883.47089999999,5.637676997278843,0.7343493098573103,348.8022883013751,13.932170169237189
Indonesia,Language of the test,Heard of it,1370,650823.8485999999,94.36232300272115,0.7343493098573131,382.18179798105683,6.837556044846884
Indonesia,Other language,Never heard of it,112,51506.17199999999,5.29840354775695,0.5558768475079723,353.3101443769222,7.930567472950769
Indonesia,Other language,Heard of it,1965,920601.2096999998,94.70159645224304,0.5558768475079733,376.51647850227647,4.2560067369564285
Ireland,Language of the test,Never heard of it,2274,24336.884899999997,73.96346455016068,0.899185053948519,505.3380560177706,2.6471284395135637
Ireland,Language of the test,Heard of it,783,8567.0428,26.03653544983932,0.8991850539485206,502.507595950589,3.4030019327433334
Ireland,Other language,Never heard of it,90,978.4987,60.21899187057915,4.536957307634931,501.62688869934135,9.280128990025245
Ireland,Other language,Heard of it,56,646.4018,39.78100812942085,4.53695730763493,507.59641091271124,16.415330189273455
Israel,Language of the test,Never heard of it,1256,26507.955199999997,47.08271694428231,1.2360790075671948,464.17178402528504,5.710519313266105
Israel,Language of the test,Heard of it,1394,29792.863699999998,52.917283055717675,1.2360790075671944,483.0447710202186,5.078116976534104
Israel,Other language,Never heard of it,130,2843.0083999999997,40.18846823371073,2.7830072630548792,473.8034735098074,9.254377718366927
Israel,Other language,Heard of it,193,4231.1811,59.81153176628927,2.783007263054878,484.5055493643137,9.539721982852244
Italy,Language of the test,Never heard of it,10255,178892.52329999997,67.84350942994243,0.5301286840026338,504.1269821534321,2.2075057737968673
Italy,Language of the test,Heard of it,4652,84791.54139999999,32.156490570057564,0.5301286840026318,484.95502324607077,2.6787067637319932
Italy,Other language,Never heard of it,2254,26240.0218,60.90176528354757,1.7067462934755073,465.28069379393827,3.082673684352494
Italy,Other language,Heard of it,1196,16845.792999999998,39.09823471645243,1.7067462934755115,443.9999047405137,4.707927222158877
Japan,Language of the test,Never heard of it,2760,491421.44239999994,68.32148597240379,0.819335598087878,541.2902488577923,3.7933612050348207
Japan,Language of the test,Heard of it,1289,227856.5935,31.67851402759621,0.8193355980878767,540.4027680522764,4.2779513623286265
Japan,Other language,Never heard of it,10,1731.4960999999998,54.00190072148449,12.651432928652486,401.83084990478113,38.20419828686521
Japan,Other language,Heard of it,9,1474.8653,45.99809927851552,12.651432928652486,591.6549864866154,39.5383127620889
Jordan,Language of the test,Never heard of it,1008,15648.2874,24.168189457555535,0.8866598650003837,397.44096366214814,3.750552231835348
Jordan,Language of the test,Heard of it,3079,49099.1668,75.83181054244446,0.886659865000389,388.198373822674,3.1868994283554986
Jordan,Other language,Never heard of it,42,757.6414,24.804872018306938,3.1761435703392205,402.27650814105715,15.36159245393634
Jordan,Other language,Heard of it,154,2296.7641999999996,75.19512798169306,3.176143570339216,384.4719870200164,7.8735950680887825
Kazakhstan,Language of the test,Never heard of it,756,28290.123499999998,23.549843237061378,1.1857885786526612,449.9674986782231,4.715566913360965
Kazakhstan,Language of the test,Heard of it,2474,91838.5891,76.45015676293862,1.1857885786526574,427.8373221466486,3.2519687087628713
Kazakhstan,Other language,Never heard of it,195,5330.6356,34.562421214937174,2.365593585924403,447.54701624549904,8.87104822626863
Kazakhstan,Other language,Heard of it,347,10092.5767,65.43757878506283,2.365593585924401,436.36628794274355,8.204950289964295
Korea,Language of the test,Never heard of it,2347,281940.68359999993,71.76174499506452,0.8920767945176615,558.1049955634653,4.466783908647907
Korea,Language of the test,Heard of it,924,110943.69179999999,28.238255004935482,0.89207679451766,545.0680522379681,6.788638296258803
