country,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,445,3874.6787999999997,32.79686225749503,1.380549990500287,0.15348371328224647,0.05001054298264345
Albania,Heard of it,867,7939.4965,67.20313774250498,1.3805499905002885,-0.060268463371701164,0.043156935073921536
Argentina,Never heard of it,910,81489.42289999999,52.06616722729635,1.715351102543504,-0.5048326952994047,0.03730471729725701
Argentina,Heard of it,804,75021.8535,47.93383277270366,1.7153511025435026,-0.2890425176445411,0.0392578266995593
Australia,Never heard of it,2894,51501.544599999994,63.06480612798334,0.8167222608127905,-0.08148122330296088,0.024410205668234278
Australia,Heard of it,1746,30162.933199999996,36.935193872016654,0.8167222608127924,0.3671902067866536,0.029502549786671172
Austria,Never heard of it,1031,17614.3343,68.28890682262512,1.2519656293531891,-0.06347911359897367,0.03242355260205565
Austria,Heard of it,486,8179.509999999999,31.711093177374885,1.2519656293531887,0.09958113603382117,0.04395082490510546
Belgium,Never heard of it,1668,22282.2996,60.51056467068583,1.0518669091342148,-0.11223213078958892,0.025181086468057595
Belgium,Heard of it,1041,14541.517399999999,39.489435329314176,1.051866909134214,-0.08153594362855118,0.03456276935996603
Brazil,Never heard of it,2142,269866.61039999995,38.23980526381911,0.8868568809103142,-0.617556648019469,0.02809098740865355
Brazil,Heard of it,3485,435855.10689999996,61.76019473618089,0.8868568809103158,-0.4362987267799318,0.021114983995665804
Bulgaria,Never heard of it,708,7129.4909,42.902113517446324,1.3914376550356613,-0.21872141375480258,0.046262587250687534
Bulgaria,Heard of it,908,9488.5503,57.097886482553676,1.3914376550356624,-0.13106873986851234,0.04545683480997332
Canada,Never heard of it,3879,65403.088899999995,58.37905045071354,0.9249414538364703,0.016894547437804507,0.02619263625970298
Canada,Heard of it,3059,46628.690299999995,41.62094954928646,0.9249414538364689,0.22352051339945161,0.03102273738089379
Chile,Never heard of it,983,33604.298599999995,45.89668226343282,1.264352025798308,-0.34961507808408826,0.03437401938101999
Chile,Heard of it,1202,39612.97319999999,54.10331773656718,1.2643520257983059,-0.1847119159184955,0.02819120451428998
Shanghai-China,Never heard of it,1202,19645.822699999997,70.4429042737765,1.1264939373510707,0.9127914397293235,0.03890274447991326
Shanghai-China,Heard of it,498,8243.178899999999,29.557095726223487,1.1264939373510734,1.0988669532575583,0.054783504053491305
