country,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,1030,9179.6227,37.24861532826884,0.971957857704948,394.35295410461146,3.490225364138568
Albania,Heard of it once or twice,555,5030.4214,20.41219315775273,0.8251152815012595,397.76655496796565,4.7840588927482965
Albania,Heard of it a few times,535,4730.2775,19.194284204454856,0.8219885191844271,395.845851824375,6.130330465331254
Albania,Heard of it often,367,3475.44,14.10246715875138,0.7757688630395012,380.37302976891743,6.309535231731277
Albania,"Know it well, understand the concept",252,2228.4369,9.042440150772201,0.7219571021017327,391.3799850119465,6.862724590413338
Argentina,Never heard of it,2070,189686.4814,58.03645710117225,1.1185670802555476,391.35307887802986,3.270833639100886
Argentina,Heard of it once or twice,512,47518.97749999999,14.538901659284612,0.7265173845057745,402.55459289774694,5.913501851401659
Argentina,Heard of it a few times,359,32021.029899999998,9.797151143353457,0.5590567510903183,404.94088289907535,5.892974905054953
Argentina,Heard of it often,280,25997.368699999995,7.954152357959803,0.5154118428008148,395.0704063625311,6.128309750868652
Argentina,"Know it well, understand the concept",338,31616.357899999995,9.67333773822987,0.6692706129376892,411.43752213570133,5.377634769906921
Australia,Never heard of it,5831,103151.53839999999,63.62239908549522,0.5538148758516851,508.72353701573985,2.104564135997057
Australia,Heard of it once or twice,1568,27416.324099999998,16.90999805144429,0.46420210882949214,506.3548048855208,3.1792681944829773
Australia,Heard of it a few times,1107,19089.308399999998,11.774013418794501,0.39093272495419296,512.8353399090696,4.094413868825797
Australia,Heard of it often,523,9016.3277,5.561142452287511,0.2639932867008515,509.3451283095163,5.56619274589875
Australia,"Know it well, understand the concept",202,3457.3545,2.1324469919784814,0.1609757796347731,503.8170721504764,8.34979424776757
Austria,Never heard of it,2192,37450.69009999999,71.72462855002097,0.9059908091242772,513.2912123764805,2.9929809823807916
Austria,Heard of it once or twice,424,7132.416799999999,13.659826942519523,0.6103657411142076,511.1781231647463,5.5580473361944716
Austria,Heard of it a few times,240,4053.5960999999993,7.763346250442354,0.5112033440656413,490.1927792489644,6.0170453506114185
Austria,Heard of it often,117,2090.3361999999997,4.003359806970883,0.3547063526717168,482.90408110945197,10.398847674086714
Austria,"Know it well, understand the concept",88,1487.5080999999998,2.848838450046277,0.31589546313680794,488.3997244975793,10.909682237456074
Belgium,Never heard of it,3467,46482.317299999995,62.827917093915985,0.760326488932478,528.7400435504335,2.331542848221883
Belgium,Heard of it once or twice,739,10236.328099999999,13.835953338172374,0.5061143888756473,522.208616622735,3.997385381372114
Belgium,Heard of it a few times,560,7713.062599999999,10.42537648124062,0.408297683322403,520.4061397440412,4.883021839494159
Belgium,Heard of it often,320,4698.636799999999,6.350921823013817,0.3930748575832256,496.16793332785613,5.943711816762823
Belgium,"Know it well, understand the concept",352,4853.1954,6.559831263657211,0.42257645616323136,501.3714641505669,6.318163711560719
Brazil,Never heard of it,4661,588017.2233999999,41.18723461315613,0.7324849334519629,391.08438454962504,2.371947851768166
Brazil,Heard of it once or twice,2434,307020.99859999993,21.505060391575732,0.5058034086123738,397.8998146244561,2.938594389103916
Brazil,Heard of it a few times,2282,278203.17209999997,19.48653689623703,0.588043933795976,399.27297885873963,3.101836052176829
Brazil,Heard of it often,1483,172858.54619999998,12.1077499330073,0.4233030042221719,394.309491375813,3.1702984538386345
Brazil,"Know it well, understand the concept",637,81568.67819999998,5.713418166023797,0.312524048757049,386.0575095868597,4.877650474055064
Bulgaria,Never heard of it,1548,15694.1792,46.360459808507315,1.1511394680363776,461.59452522674445,4.363349166237297
Bulgaria,Heard of it once or twice,612,6304.7278,18.62410745096365,0.7974973047450582,428.80684397151254,5.626659050077635
Bulgaria,Heard of it a few times,461,4832.0482,14.273825570238813,0.6516785993957928,434.35673696652674,5.979579011639801
Bulgaria,Heard of it often,356,3631.8862,10.728558152577508,0.6021236028046815,415.53380719618605,4.709760170663236
Bulgaria,"Know it well, understand the concept",329,3389.6684,10.013049017712714,0.5560064412807533,437.11577628590265,5.526393107910904
Canada,Never heard of it,7941,131836.43039999998,59.10867596300464,0.5742039380884252,525.4473610354526,2.263254015065636
Canada,Heard of it once or twice,2481,38396.76669999999,17.215135710298988,0.4607673912530191,517.2820901611495,2.9361752997788684
Canada,Heard of it a few times,1890,29234.156799999997,13.10709260027772,0.4159376036968319,513.8694616690206,3.331953565013955
Canada,Heard of it often,1006,16426.7469,7.364908596906239,0.35929842716088467,505.67954080319146,4.189879799302017
