country,st04q01,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Female,Never heard of it,507,4323.0521,36.88984060060408,1.1784161384025806,398.4910962551051,5.0178920102348865
Albania,Female,Heard of it,864,7395.7627,63.11015939939592,1.1784161384025782,390.687985751755,4.877753804479223
Albania,Male,Never heard of it,523,4856.5706,37.573898870019626,1.4226084895981974,390.66940750615174,4.373198691839151
Albania,Male,Heard of it,845,8068.813099999999,62.42610112998038,1.4226084895981963,393.873013046925,4.344929881245094
Argentina,Female,Never heard of it,1189,108121.40189999998,63.70972330233643,1.4183265708909403,386.4360511410583,3.309282948212783
Argentina,Female,Heard of it,715,61588.018099999994,36.29027669766357,1.4183265708909396,396.8178851785203,4.656361797635935
Argentina,Male,Never heard of it,881,81565.07949999999,51.90903494910965,1.5695872282255632,397.87101443772843,4.306912591209336
Argentina,Male,Heard of it,774,75565.7159,48.09096505089033,1.5695872282255645,409.3830948102217,4.657901644644563
Australia,Female,Never heard of it,3129,55122.452,69.39792468518591,0.7220043838193294,502.1970496259465,2.663183512149396
Australia,Female,Heard of it,1417,24307.087499999998,30.60207531481408,0.7220043838193314,499.46227929897555,3.3484845869751676
Australia,Male,Never heard of it,2702,48029.08639999999,58.07536096984075,0.7734527519623718,516.2139145106671,3.2455460060453123
Australia,Male,Heard of it,1983,34672.227199999994,41.92463903015924,0.773452751962375,515.2793555535027,3.542371542342672
Austria,Female,Never heard of it,1180,20132.422399999996,77.07348663027211,1.1485242629002579,504.2339696847354,3.7506237960169897
Austria,Female,Heard of it,345,5988.651499999999,22.92651336972788,1.1485242629002552,483.25312827046844,5.6161328770804975
Austria,Male,Never heard of it,1012,17318.267699999997,66.37011268879213,1.244439276991716,523.820223638355,4.661725650150724
Austria,Male,Heard of it,524,8775.205699999999,33.62988731120787,1.2444392769917174,509.94529145528503,5.523399287099781
Belgium,Female,Never heard of it,1834,24633.9907,66.36003554166616,0.9443192040043109,517.7183645912779,2.7504438276566754
Belgium,Female,Heard of it,882,12487.735499999999,33.639964458333836,0.9443192040043127,505.58126499721453,3.8466473655374314
Belgium,Male,Never heard of it,1633,21848.326599999997,59.27089372215919,1.1128243456207845,541.166987817115,3.2604139445850655
Belgium,Male,Heard of it,1089,15013.487399999998,40.7291062778408,1.1128243456207836,520.2272559703832,3.5261050914845384
Brazil,Female,Never heard of it,2543,312064.02809999994,42.61667146314258,0.7820964516665131,383.4652218222156,2.5663878522965553
Brazil,Female,Heard of it,3521,420194.0703999999,57.38332853685741,0.782096451666511,387.71632730441274,2.4413721349668576
Brazil,Male,Never heard of it,2118,275953.19529999996,39.68205647794917,1.0601126943275823,399.7005798028752,3.3224458728662283
Brazil,Male,Heard of it,3315,419457.32469999994,60.31794352205083,1.0601126943275836,405.2294766108368,2.7262036254969364
Bulgaria,Female,Never heard of it,876,8759.1053,52.534205135154124,1.4977900450559982,461.98512377324533,4.7518613015532605
Bulgaria,Female,Heard of it,773,7914.0418,47.46579486484588,1.4977900450559982,429.12806478419566,5.132355768967236
Bulgaria,Male,Never heard of it,672,6935.0739,40.36863311582565,1.4121311218366244,461.1011932380535,5.867680694545449
Bulgaria,Male,Heard of it,985,10244.2888,59.63136688417434,1.4121311218366244,429.220104648579,4.87896269295265
Canada,Female,Never heard of it,4368,72386.56159999999,64.11166939310675,0.8646274425588194,519.4616595106936,2.6820310591175915
Canada,Female,Heard of it,2685,40520.43689999999,35.88833060689325,0.8646274425588185,509.383830680424,2.654306219499755
Canada,Male,Never heard of it,3573,59449.8688,53.979703265352775,0.8224353844699377,532.735591621791,2.7165989226647493
Canada,Male,Heard of it,3221,50683.876299999996,46.020296734647225,0.822435384469937,517.9497936840977,2.768173451399471
Chile,Female,Never heard of it,1099,37818.578199999996,48.735478576815936,1.4133838373638004,407.2319275790887,4.094279420017183
Chile,Female,Heard of it,1186,39781.1075,51.264521423184064,1.4133838373638008,414.72923265932184,3.6521416869327465
Chile,Male,Never heard of it,928,30841.719999999998,44.61230980897542,1.1659517199320568,436.9799685732348,4.4622801501290725
Chile,Male,Heard of it,1184,38291.037599999996,55.387690191024575,1.1659517199320613,438.65800303358384,4.345984358379128
Shanghai-China,Female,Never heard of it,1282,21095.370799999997,72.7466150960453,1.0408322941217671,603.638957222506,3.901147090502338
Shanghai-China,Female,Heard of it,476,7903.051699999999,27.253384903954693,1.040832294121765,627.7097778195465,4.738418925089996
Shanghai-China,Male,Never heard of it,1203,19577.510499999997,71.9624813719184,1.1383355992073034,620.026674009245,4.195343311601611
Shanghai-China,Male,Heard of it,465,7627.652699999999,28.0375186280816,1.1383355992073019,609.6727481319209,7.139189652909677
Chinese Taipei,Female,Never heard of it,1232,58763.78999999999,58.39588837019816,1.1253716626813732,565.5217432512272,6.585372098656198
Chinese Taipei,Female,Heard of it,862,41866.22289999999,41.60411162980185,1.1253716626813728,550.1070607487846,5.318192729776619
Chinese Taipei,Male,Never heard of it,1092,52813.57489999999,57.02006242331673,1.3894158445767144,577.7985090178703,6.044221152177362
Chinese Taipei,Male,Heard of it,810,39809.219,42.97993757668328,1.3894158445767155,541.7016083582586,6.367556515706276
Colombia,Female,Never heard of it,1047,61255.34479999999,34.950553148087806,1.4901452571479723,370.0031395658802,4.175316254742438
Colombia,Female,Heard of it,1827,114007.53169999999,65.0494468519122,1.4901452571479739,370.00322372914013,3.3528453741871784
Colombia,Male,Never heard of it,908,55271.71319999999,35.80266884344982,1.6761920268582535,396.14924635766846,4.5924498649819405
Colombia,Male,Heard of it,1651,99107.03839999999,64.19733115655018,1.6761920268582517,402.5162929422636,4.292572154059016
Costa Rica,Female,Never heard of it,877,7570.495199999999,56.613193581327316,1.512319750395762,395.4414423672829,3.8042084389207345
Costa Rica,Female,Heard of it,645,5801.8209,43.38680641867268,1.512319750395757,403.82737064858225,3.336275293789619
Costa Rica,Male,Never heard of it,646,5638.308599999999,50.079880498429716,1.4852775247628196,417.6579390955315,4.766835113384054
Costa Rica,Male,Heard of it,637,5620.3216999999995,49.92011950157028,1.4852775247628236,428.8282545303984,4.431312985398623
Croatia,Female,Never heard of it,1031,9308.4883,64.31167319997904,1.3521622782800529,472.2396345007892,4.323568404609708
Croatia,Female,Heard of it,572,5165.5377,35.688326800020945,1.3521622782800522,454.8230664919995,5.185038919535801
Croatia,Male,Never heard of it,929,8471.752,55.40770324743185,1.1451055764284779,484.5385385744772,5.50745979697355
Croatia,Male,Heard of it,735,6818.0931,44.592296752568146,1.1451055764284794,469.2894102217195,4.609716625241564
Czech Republic,Female,Never heard of it,1049,15476.725899999998,60.196239638407,1.4480424030065246,494.0192749865325,5.151633198386067
Czech Republic,Female,Heard of it,696,10233.727099999998,39.80376036159301,1.448042403006524,504.818742520687,4.953037043683523
Czech Republic,Male,Never heard of it,1030,16243.981499999998,61.80256619659136,1.3749318768079557,510.9526643794002,4.408105297066348
Czech Republic,Male,Heard of it,670,10039.6868,38.197433803408636,1.3749318768079564,519.1977750201893,4.708883033975581
Denmark,Female,Never heard of it,1545,13535.627799999998,65.61798779670626,1.2062686437581875,500.8996878498108,3.1990276433333977
Denmark,Female,Heard of it,856,7092.2949,34.38201220329374,1.2062686437581889,486.01132537052257,4.32285138805671
Denmark,Male,Never heard of it,1254,11458.4689,54.836846216712274,1.228387159258261,515.7332928171701,3.2598471807078138
Denmark,Male,Heard of it,1085,9437.0962,45.16315378328773,1.2283871592582598,505.12715154539296,3.589487221430557
Estonia,Female,Never heard of it,1122,2703.4913,70.34981417805078,1.195541819725863,526.1223613769005,3.0176381680962647
Estonia,Female,Heard of it,455,1139.4347,29.65018582194921,1.1955418197258603,506.4893256205332,4.760879936776923
Estonia,Male,Never heard of it,975,2371.0238,63.21201245458765,1.3642131841901277,530.0015651353657,3.9740310733783275
Estonia,Male,Heard of it,568,1379.8832,36.78798754541235,1.3642131841901282,514.3137785726734,4.2275595103055625
Finland,Female,Never heard of it,2469,17029.9421,89.62734098542559,0.7272765170093333,522.8210968013848,2.191116253633885
Finland,Female,Heard of it,368,1970.8917,10.372659014574403,0.727276517009334,519.3899058979888,6.0249123573795105
Finland,Male,Never heard of it,2063,14573.255,74.29150666569939,0.8552367607426989,520.2201331480156,2.6707265074590265
Finland,Male,Heard of it,773,5043.0587,25.708493334300623,0.8552367607427016,519.6396409610737,4.6376037735551785
France,Female,Never heard of it,1055,158652.88239999997,70.34246098643224,1.3194137363750602,504.52024157857414,3.4737704217521728
France,Female,Heard of it,435,66890.66579999999,29.657539013567757,1.3194137363750615,471.75213384153824,4.854220756815285
France,Male,Never heard of it,867,130613.30949999997,62.045874546334055,1.5124922843074913,516.8892432778646,4.073105534465657
France,Male,Heard of it,522,79897.55919999999,37.95412545366595,1.5124922843074906,486.99932220605945,4.954511977045023
Germany,Female,Never heard of it,1103,166017.1836,79.65457299112505,1.1560696140661726,520.8260197892623,3.988915319404538
Germany,Female,Heard of it,274,42404.225699999995,20.345427008874946,1.1560696140661746,500.3664962045437,6.703416102468434
Germany,Male,Never heard of it,913,138326.71689999997,68.05868523697387,1.2872398967564118,539.3447536153119,3.774435673054613
Germany,Male,Heard of it,422,64919.520399999994,31.941314763026117,1.287239896756408,517.5289274547698,5.282162508439167
Greece,Female,Never heard of it,1089,20758.788899999996,64.128090383919,1.3541628536939976,457.52831670425013,3.4143397629370744
Greece,Female,Heard of it,622,11612.031399999998,35.871909616081,1.3541628536939991,434.0633186474286,3.782840737951426
Greece,Male,Never heard of it,856,16164.234799999998,52.97668867829653,1.4143659682742369,468.47192633086286,4.612393367367804
Greece,Male,Heard of it,762,14347.741699999999,47.02331132170347,1.4143659682742376,445.4334841690921,4.616595177712447
Hong Kong-China,Female,Never heard of it,552,8340.158399999998,39.663388824087036,1.513237479719352,541.6543623134676,6.301301166402403
Hong Kong-China,Female,Heard of it,844,12687.188599999998,60.33661117591297,1.5132374797193522,561.6062316866816,3.991719015102117
Hong Kong-China,Male,Never heard of it,669,10144.882599999999,40.79995607951537,1.555043217741694,566.0217002654257,6.213863840594036
Hong Kong-China,Male,Heard of it,970,14720.052499999998,59.20004392048463,1.5550432177416964,574.6373303418065,5.127582945386281
Hungary,Female,Never heard of it,1130,20698.4937,67.72819269001117,1.2631716422709338,484.33312785033974,4.518185611708338
Hungary,Female,Heard of it,516,9862.625499999998,32.27180730998882,1.2631716422709325,459.19533381838465,5.452867112411472
Hungary,Male,Never heard of it,884,17089.1916,60.04902445920898,1.5005382577245199,492.0622880421313,5.184114217139461
Hungary,Male,Heard of it,594,11369.5415,39.95097554079103,1.5005382577245192,469.5175363581858,5.123962318921017
Iceland,Female,Never heard of it,909,1071.4881,80.50303120006072,1.21448604789044,502.3550193654266,3.1729709962223573
